ארטיקל|גרויס|ערך|גודל
רוי:מעדיצין|7519|רפואה|58157
רוי:אסטראנאמיע|16333|אסטרונומיה|59489
רוי:קאמיקס|1082|קומיקס|60319
רוי:פרעמיער מיניסטער פון מדינת ישראל|1650|ראש ממשלת ישראל|60380
רוי:ווירוס|3237|נגיף|63082
רוי:געאלאגיע|2133|גאולוגיה|65721
רוי:קאפיטאליזם|3572|קפיטליזם|67273
רוי:זכרון|1164|זיכרון|68771
רוי:אנטיסעמיטיזם|2762|אנטישמיות|70838
רוי:לאגיק|2503|לוגיקה|71732
"רוי:""הייליגע"" רוימישע אימפעריע"|1945|"האימפריה הרומית ה""קדושה"""|72619
רוי:זון סיסטעם|20340|מערכת השמש|86429
רוי:בריטישע אימפעריע|3525|האימפריה הבריטית|89110
רוי:צווייטע וועלט-מלחמה|65811|מלחמת העולם השנייה|96999
רוי:אלכסנדר מוקדון|16864|אלכסנדר הגדול|102015
רוי:אינדוסטריעלע רעוואלוציע|3968|המהפכה התעשייתית|124893
רוי:מענטש|744|אדם|155373
רוי:רוימישע אימפעריע|2290|האימפריה הרומית|165618
